question_id,question,query_type,expected_chunk_id,method,gold_rank,hit_at_1,hit_at_3,hit_at_5,reciprocal_rank,top_1_chunk_id,top_2_chunk_id,top_3_chunk_id,top_4_chunk_id,top_5_chunk_id,error
S01,Tiền nhàn rỗi của Quỹ bảo toàn phải được sử dụng theo nguyên tắc nào?,SEMANTIC,168220-chunk-0037,hybrid,1.0,1,1,1,1.0,168220-chunk-0037,168220-chunk-0040,166269-chunk-0114,168220-chunk-0039,163441-chunk-0171,
S01,Tiền nhàn rỗi của Quỹ bảo toàn phải được sử dụng theo nguyên tắc nào?,SEMANTIC,168220-chunk-0037,hybrid_rerank,1.0,1,1,1,1.0,168220-chunk-0037,163441-chunk-0171,168220-chunk-0040,168220-chunk-0025,112025-chunk-0163,
S02,Ngân hàng không có công ty con phải duy trì hệ số đủ vốn tối thiểu bao nhiêu?,SEMANTIC,117310-chunk-0021,bm25,1.0,1,1,1,1.0,117310-chunk-0021,117310-chunk-0040,163441-chunk-0125,168220-chunk-0019,117310-chunk-0014,
S02,Ngân hàng không có công ty con phải duy trì hệ số đủ vốn tối thiểu bao nhiêu?,SEMANTIC,117310-chunk-0021,dense,3.0,0,1,1,0.3333333333333333,25692-chunk-0022,112924-chunk-0034,117310-chunk-0021,25692-chunk-0035,117310-chunk-0003,
S02,Ngân hàng không có công ty con phải duy trì hệ số đủ vốn tối thiểu bao nhiêu?,SEMANTIC,117310-chunk-0021,hybrid,1.0,1,1,1,1.0,117310-chunk-0021,117310-chunk-0040,163441-chunk-0201,25692-chunk-0022,112924-chunk-0034,
S02,Ngân hàng không có công ty con phải duy trì hệ số đủ vốn tối thiểu bao nhiêu?,SEMANTIC,117310-chunk-0021,hybrid_rerank,1.0,1,1,1,1.0,117310-chunk-0021,163441-chunk-0125,117310-chunk-0040,174218-chunk-0039,163441-chunk-0077,
S03,Nếu hồ sơ đăng ký đầu tư ra nước ngoài có thông tin sai sự thật thì giấy chứng nhận bị xử lý thế nào?,SEMANTIC,112924-chunk-0011,bm25,1.0,1,1,1,1.0,112924-chunk-0011,112924-chunk-0022,112924-chunk-0026,112924-chunk-0016,6e689cd0-6f81-11f1-94d6-fd5d6d5ff793-chunk-0079,
S03,Nếu hồ sơ đăng ký đầu tư ra nước ngoài có thông tin sai sự thật thì giấy chứng nhận bị xử lý thế nào?,SEMANTIC,112924-chunk-0011,dense,,0,0,0,0.0,6e689cd0-6f81-11f1-94d6-fd5d6d5ff793-chunk-0017,173695-chunk-0016,6e689cd0-6f81-11f1-94d6-fd5d6d5ff793-chunk-0026,6e689cd0-6f81-11f1-94d6-fd5d6d5ff793-chunk-0015,173695-chunk-0015,
S03,Nếu hồ sơ đăng ký đầu tư ra nước ngoài có thông tin sai sự thật thì giấy chứng nhận bị xử lý thế nào?,SEMANTIC,112924-chunk-0011,hybrid,4.0,0,0,1,0.25,112924-chunk-0022,173695-chunk-0015,95652-chunk-0019,112924-chunk-0011,6e689cd0-6f81-11f1-94d6-fd5d6d5ff793-chunk-0017,
S03,Nếu hồ sơ đăng ký đầu tư ra nước ngoài có thông tin sai sự thật thì giấy chứng nhận bị xử lý thế nào?,SEMANTIC,112924-chunk-0011,hybrid_rerank,1.0,1,1,1,1.0,112924-chunk-0011,112924-chunk-0022,112924-chunk-0026,112924-chunk-0016,112924-chunk-0025,
M01,Thông tư 41/2016/TT-NHNN quy định cách tính và mức tối thiểu của tỷ lệ an toàn vốn như thế nào?,MIXED,117310-chunk-0021,bm25,1.0,1,1,1,1.0,117310-chunk-0021,117310-chunk-0014,117310-chunk-0053,168220-chunk-0019,117310-chunk-0022,
M01,Thông tư 41/2016/TT-NHNN quy định cách tính và mức tối thiểu của tỷ lệ an toàn vốn như thế nào?,MIXED,117310-chunk-0021,dense,,0,0,0,0.0,117310-chunk-0051,117310-chunk-0020,117310-chunk-0014,117310-chunk-0043,117310-chunk-0019,
M01,Thông tư 41/2016/TT-NHNN quy định cách tính và mức tối thiểu của tỷ lệ an toàn vốn như thế nào?,MIXED,117310-chunk-0021,hybrid,4.0,0,0,1,0.25,117310-chunk-0014,117310-chunk-0022,117310-chunk-0020,117310-chunk-0021,117310-chunk-0047,
M01,Thông tư 41/2016/TT-NHNN quy định cách tính và mức tối thiểu của tỷ lệ an toàn vốn như thế nào?,MIXED,117310-chunk-0021,hybrid_rerank,2.0,0,1,1,0.5,117310-chunk-0014,117310-chunk-0021,117310-chunk-0023,117310-chunk-0001,117310-chunk-0031,
M02,Theo Thông tư 01/2025/TT-NHNN Ban trù bị nộp hồ sơ cấp giấy phép lần đầu cho quỹ tín dụng nhân dân theo trình tự nào?,MIXED,177271-chunk-0017,bm25,2.0,0,1,1,0.5,177271-chunk-0008,177271-chunk-0017,177271-chunk-0027,177271-chunk-0028,177271-chunk-0015,
M02,Theo Thông tư 01/2025/TT-NHNN Ban trù bị nộp hồ sơ cấp giấy phép lần đầu cho quỹ tín dụng nhân dân theo trình tự nào?,MIXED,177271-chunk-0017,dense,,0,0,0,0.0,177271-chunk-0004,177271-chunk-0028,177271-chunk-0012,177271-chunk-0031,177271-chunk-0021,
M02,Theo Thông tư 01/2025/TT-NHNN Ban trù bị nộp hồ sơ cấp giấy phép lần đầu cho quỹ tín dụng nhân dân theo trình tự nào?,MIXED,177271-chunk-0017,hybrid,,0,0,0,0.0,177271-chunk-0028,177271-chunk-0031,177271-chunk-0003,177271-chunk-0029,177271-chunk-0022,
M02,Theo Thông tư 01/2025/TT-NHNN Ban trù bị nộp hồ sơ cấp giấy phép lần đầu cho quỹ tín dụng nhân dân theo trình tự nào?,MIXED,177271-chunk-0017,hybrid_rerank,,0,0,0,0.0,177271-chunk-0018,177271-chunk-0027,177271-chunk-0008,177271-chunk-0003,177271-chunk-0028,
M03,Theo văn bản 52/VBHN-NHNN hồ sơ thành lập ngân hàng liên doanh hoặc ngân hàng 100% vốn nước ngoài cần những tài liệu gì?,MIXED,6e689cd0-6f81-11f1-94d6-fd5d6d5ff793-chunk-0028,bm25,,0,0,0,0.0,6e689cd0-6f81-11f1-94d6-fd5d6d5ff793-chunk-0027,173695-chunk-0025,6e689cd0-6f81-11f1-94d6-fd5d6d5ff793-chunk-0016,173695-chunk-0015,6e689cd0-6f81-11f1-94d6-fd5d6d5ff793-chunk-0026,
M03,Theo văn bản 52/VBHN-NHNN hồ sơ thành lập ngân hàng liên doanh hoặc ngân hàng 100% vốn nước ngoài cần những tài liệu gì?,MIXED,6e689cd0-6f81-11f1-94d6-fd5d6d5ff793-chunk-0028,dense,,0,0,0,0.0,173695-chunk-0025,6e689cd0-6f81-11f1-94d6-fd5d6d5ff793-chunk-0051,6e689cd0-6f81-11f1-94d6-fd5d6d5ff793-chunk-0047,6e689cd0-6f81-11f1-94d6-fd5d6d5ff793-chunk-0036,6e689cd0-6f81-11f1-94d6-fd5d6d5ff793-chunk-0039,
M03,Theo văn bản 52/VBHN-NHNN hồ sơ thành lập ngân hàng liên doanh hoặc ngân hàng 100% vốn nước ngoài cần những tài liệu gì?,MIXED,6e689cd0-6f81-11f1-94d6-fd5d6d5ff793-chunk-0028,hybrid,4.0,0,0,1,0.25,173695-chunk-0025,6e689cd0-6f81-11f1-94d6-fd5d6d5ff793-chunk-0051,6e689cd0-6f81-11f1-94d6-fd5d6d5ff793-chunk-0027,6e689cd0-6f81-11f1-94d6-fd5d6d5ff793-chunk-0028,6e689cd0-6f81-11f1-94d6-fd5d6d5ff793-chunk-0015,
M03,Theo văn bản 52/VBHN-NHNN hồ sơ thành lập ngân hàng liên doanh hoặc ngân hàng 100% vốn nước ngoài cần những tài liệu gì?,MIXED,6e689cd0-6f81-11f1-94d6-fd5d6d5ff793-chunk-0028,hybrid_rerank,4.0,0,0,1,0.25,6e689cd0-6f81-11f1-94d6-fd5d6d5ff793-chunk-0026,6e689cd0-6f81-11f1-94d6-fd5d6d5ff793-chunk-0016,6e689cd0-6f81-11f1-94d6-fd5d6d5ff793-chunk-0027,6e689cd0-6f81-11f1-94d6-fd5d6d5ff793-chunk-0028,173695-chunk-0024,
